Maturity_Stage,Class,Ripeness,Replicate,Code,ESR,Maturity_DAB,Actual_Ripening_Status,Day_Harvested,Day_Ripen,Actual_Ripening_Days,Day_Overripe,Actual_Days_Capsule_Splitting,Pulp_Color,Pliability_Harvest,Pliability_EOS,Pedicel_Absicion,Locules,Dehisence,VQR_Harvest,VQR_End_Storage,Aroma_Harvest,Aroma_End_Storage,Disease,Harvest_Rind_Color,Rind_Color_EOS,Harvest_Weight,Weight_End_Storage,Weight_Loss,Average_Weight_Loss,Horizontal_Circumference,Vertical_Circumference,Pedicel_Diameter,Firmness_R1,Firmness_R2,Firmness_R3,Firmness_AVE,TSS_R1,TSS_R2,TSS_R3,TSS_AVE,Dry_Matter_R1,Dry_Matter_R2,Dry_Matter_R3,Dry_Matter_AVE,ESR_NL_Flag,ESR_Days
Mature,C,Unripe,R106,M_CC_UN_106,6D,110.0,Unripe,2025-09-18,,,,,(1-3) = White,1.0,,1.0,2.0,,9.0,,1.0,,1.0,Green,,0.9,,,,41.3,42.7,14.2,10.01,11.97,9.33,10.44,3.88,4.45,4.35,4.23,45.5,43.0,47.5,45.33,0.0,6.0
Mature,C,Unripe,R107,M_CC_UN_107,5D,110.0,Unripe,2025-09-18,,,,,"(1-2) = White, (3) = Creamy White",1.0,,1.0,2.5,,9.0,,1.0,,1.0,More Green Than Brown,,1.26,,,,46.0,46.8,17.3,10.7,10.69,11.22,10.87,4.1,4.43,3.5,4.01,31.5,33.0,32.0,32.17,0.0,5.0
Mature,C,Unripe,R108,M_CC_UN_108,6D,110.0,Unripe,2025-09-18,,,,,(1-3) = White,1.0,,1.0,2.0,,8.0,,1.0,,1.0,More Green Than Brown,,0.93,,,,45.6,46.5,14.5,12.3,11.81,9.79,11.3,,,,,31.5,33.0,32.0,32.17,0.0,6.0
Mature,C,Unripe,R109,M_CC_UN_109,6D,110.0,Unripe,2025-09-18,,,,,(1-3) = White,1.0,,1.0,2.0,,9.0,,1.0,,1.0,Green,,1.03,,,,47.5,47.5,13.1,11.4,11.75,11.27,11.47,3.38,3.3,3.4,3.36,34.5,34.0,36.0,34.83,0.0,6.0
Mature,C,Unripe,R110,M_CC_UN_110,6D,110.0,Unripe,2025-09-18,,,,,(1-3) = Creamy White,1.0,,1.0,2.5,,9.0,,1.0,,1.0,Green,,1.27,,,,44.4,49.9,14.45,10.67,10.55,9.97,10.4,4.3,5.75,5.35,5.13,32.0,32.0,32.5,32.17,0.0,6.0
Mature,C,Unripe,R111,M_CC_UN_111,6D,110.0,Unripe,2025-09-18,,,,,(1-3) = Creamy White,1.0,,1.0,3.0,,9.0,,1.0,,1.0,Green,,1.35,,,,50.3,57.6,18.0,13.72,11.32,10.61,11.88,4.85,5.28,4.68,4.94,36.0,34.0,36.0,35.33,0.0,6.0
Mature,C,Unripe,R112,M_CC_UN_112,6D,114.0,Unripe,2025-09-18,,,,,"(1-2) = Creamy White, (3) = White",1.0,,1.0,2.5,,9.0,,1.0,,1.0,More Green Than Brown,,1.06,,,,41.2,46.6,14.0,8.55,8.56,7.92,8.35,5.65,4.28,2.9,4.28,37.5,37.0,37.5,37.33,0.0,6.0
Mature,C,Ripe,R113,M_CC_RI_113,6D,110.0,Ripe,2025-09-18,,5.0,,,Yellow (1-3),1.0,4.0,1.0,,1.0,9.0,7.0,1.0,4.0,1.0,Green,More Green than Brown,0.8,0.7,12.5,13.05,40.3,43.6,14.0,0.38,0.28,0.39,0.35,8.58,9.15,9.48,9.07,36.5,38.0,35.5,36.67,0.0,6.0
Mature,C,Ripe,R114,M_CC_RI_114,6D,110.0,Overripe,2025-09-18,,,,7.0,Yellow,1.0,4.0,1.0,,,9.0,3.0,1.0,5.0,1.0,More Green Than Brown,More Brown than Green,1.08,0.85,21.3,30.58,42.9,44.9,11.6,0.48,0.52,0.41,0.47,7.48,7.0,8.9,7.79,32.5,33.5,32.0,32.67,0.0,6.0
Mature,C,Ripe,R115,M_CC_RI_115,5D,110.0,Ripe,2025-09-18,,5.0,,,(D = YO) (2-3) = Yellow,1.0,3.0,5.0,,1.0,9.0,7.0,1.0,3.0,1.0,More Green Than Brown,More Brown than Green,0.9,0.79,12.22,,40.3,45.3,15.5,0.39,0.36,0.59,0.45,10.48,9.78,9.88,10.05,40.5,41.0,41.5,41.0,0.0,5.0
Mature,C,Ripe,R116,M_CC_RI_116,6D,110.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,5.0,5.0,,1.0,9.0,7.0,1.0,4.0,1.0,More Green Than Brown,More Green than Brown,1.18,,,,42.2,53.2,15.4,0.56,0.31,0.47,0.45,6.55,6.05,6.85,6.48,33.5,33.0,32.5,33.0,0.0,6.0
Mature,C,Ripe,R117,M_CC_RI_117,6D,114.0,Ripe,2025-09-18,,5.0,,,Yellow = (1-3),1.0,4.0,1.0,,1.0,9.0,7.0,1.0,4.0,1.0,More Green Than Brown,More Green than Brown,1.17,1.03,11.97,,45.6,50.1,14.3,0.59,0.39,0.45,0.48,10.35,6.95,7.45,8.25,34.0,33.5,35.0,34.17,0.0,6.0
Mature,C,Ripe,R118,M_CC_RI_118,6D,110.0,Ripe,2025-09-18,,5.0,,,"(1,2,3) -> Yellow",1.0,4.0,5.0,,1.0,9.0,7.0,1.0,4.0,1.0,More Green Than Brown,More Green than Brown,1.53,1.36,11.11,,52.0,54.2,14.4,0.42,0.52,0.35,0.43,6.13,7.18,9.95,7.75,33.5,35.5,34.0,34.33,0.0,6.0
Mature,C,Ripe,R119,M_CC_RI_119,6D,113.0,Ripe,2025-09-18,,7.0,,,,1.0,2.0,4.0,2.5,1.0,7.0,5.0,1.0,4.0,1.0,More Green Than Brown,More Green than Brown,3.83,3.44,10.18,,61.1,67.5,25.0,0.44,0.47,0.47,0.46,6.9,10.18,9.18,8.75,32.0,38.0,36.0,35.33,0.0,6.0
Mature,C,Overripe,R120,M_CC_OR_120,5D,110.0,Overripe,2025-09-18,,,,8.0,Yellow,1.0,4.0,1.0,,,9.0,3.0,1.0,4.0,1.0,More Green Than Brown,More Brown than Green,1.09,0.9,17.43,,44.5,48.8,14.8,0.33,0.4,0.2,0.31,8.53,8.45,9.73,8.9,39.5,38.5,39.5,39.17,0.0,5.0
Mature,C,Overripe,R121,M_CC_OR_121,5D,110.0,Ripe,2025-09-18,,,,,Yellow Orange,1.0,4.0,1.0,,1.0,9.0,7.0,1.0,4.0,1.0,More Green Than Brown,More Brown than Green,1.23,0.98,20.33,,44.5,49.9,16.3,0.65,0.61,0.66,0.64,8.23,6.5,8.9,7.88,32.0,30.5,30.5,31.0,0.0,5.0
Mature,C,Overripe,R122,M_CC_OR_122,6D,110.0,Overripe,2025-09-18,,,,7.0,Yellow Orange,1.0,4.0,1.0,,,9.0,3.0,1.0,5.0,1.0,More Brown Than Green,More Brown than Green,1.08,0.84,22.22,,46.1,45.5,16.0,0.32,0.21,0.21,0.25,9.1,8.23,8.28,8.54,39.5,38.5,36.0,38.0,0.0,6.0
Mature,C,Overripe,R123,M_CC_OR_123,6D,110.0,Overripe,2025-09-18,,,,8.0,Yellow Orange,1.0,5.0,5.0,,,8.0,3.0,1.0,5.0,1.0,More Green Than Brown,More Brown than Green,0.93,0.7,24.73,,43.2,41.6,13.6,0.47,0.34,0.57,0.46,10.63,10.13,8.23,9.66,39.0,40.0,38.5,39.17,0.0,6.0
Mature,C,Overripe,R124,M_CC_OR_124,6D,111.0,Overripe,2025-09-18,,,,6.0,Yellow Orange,1.0,3.0,5.0,,,7.0,4.0,1.0,5.0,1.0,More Green Than Brown,More Green than Brown w/ Yellow Orange along Suture Line,3.86,2.26,41.45,,56.7,74.3,23.8,0.52,0.36,0.24,0.37,6.9,6.9,6.2,6.67,38.5,35.5,36.0,36.67,0.0,6.0
Mature,C,Overripe,R125,M_CC_OR_125,6D,114.0,Overripe,2025-09-18,,,,6.0,Yellow Orange,1.0,3.0,5.0,,,7.0,3.0,1.0,5.0,1.0,More Green Than Brown,More Green than Yellow Orange,2.75,1.2,56.36,,50.4,69.3,25.0,0.55,0.33,0.28,0.39,7.4,8.15,7.15,7.57,36.5,37.5,35.5,36.5,0.0,6.0
Mature,C,Overripe,R126,M_CC_OR_126,5D,110.0,Overripe,2025-09-18,,,,7.0,Yellow,1.0,4.0,2.0,,,9.0,3.0,1.0,5.0,1.0,More Green Than Brown,More Brown than Green,1.54,,,,,,17.7,0.52,0.51,0.54,0.52,9.28,8.53,8.4,8.74,36.0,33.0,36.5,35.17,0.0,5.0
Overmature,A,Unripe,R127,OM_CA_UN_127,4D,118.0,Unripe,2025-09-19,,,,,Light Yellow,1.0,,1.0,5.0,1.0,9.0,,1.0,1.0,1.0,More Green Than Brown,,2.11,,,,50.3,55.5,18.45,5.1,5.98,6.07,5.72,4.93,5.03,5.4,5.12,33.0,33.0,31.5,32.5,0.0,4.0
Overmature,A,Unripe,R128,OM_CA_UN_128,3D,118.0,Unripe,2025-09-19,,,,,Light Yellow,1.0,,1.0,4.5,1.0,8.0,,1.0,1.0,1.0,More Green Than Brown,,2.6,,,,51.0,64.6,21.5,3.13,2.23,2.06,2.47,6.13,5.7,6.6,6.14,34.5,37.0,36.0,35.83,0.0,3.0
Overmature,A,Unripe,R129,OM_CA_UN_129,3D,118.0,Unripe,2025-09-19,,,,,"Creamy White (1), Light Yellow (2-3)",1.0,,1.0,4.0,1.0,9.0,,1.0,1.0,1.0,More Brown Than Green,,1.89,,,,48.2,58.4,18.1,2.7,2.28,2.58,2.52,4.6,4.8,4.75,4.72,33.0,35.0,35.5,34.5,0.0,3.0
Overmature,A,Unripe,R130,OM_CA_UN_130,5D,118.0,Unripe,2025-09-19,,,,,,1.0,,1.0,4.0,1.0,7.0,,1.0,1.0,1.0,More Green Than Brown,,2.47,,,,54.5,57.4,21.25,3.72,2.61,2.99,3.1,5.35,5.35,4.5,5.07,31.5,31.5,30.5,31.17,0.0,5.0
Overmature,A,Unripe,R131,OM_CA_UN_131,1D,118.0,Unripe,2025-09-19,,,,,Yellow,1.0,,1.0,4.5,1.0,7.0,,1.0,1.0,1.0,More Green Than Brown,,2.7,,,,53.3,54.7,22.0,3.89,4.33,3.56,3.93,5.13,4.9,5.93,5.32,31.5,35.0,30.0,32.17,0.0,1.0
Overmature,A,Unripe,R132,OM_CA_UN_132,5D,118.0,Unripe,2025-09-19,,,,,Light Yellow,1.0,,1.0,5.0,1.0,9.0,,1.0,1.0,1.0,More Brown Than Green,,2.17,,,,51.1,57.1,21.1,4.19,4.18,5.39,4.58,5.18,5.2,5.55,5.31,32.0,31.0,31.0,31.33,0.0,5.0
Overmature,A,Unripe,R133,OM_CA_UN_133,4D,118.0,Unripe,2025-09-19,,,,,Yellow,1.0,,1.0,5.0,1.0,7.0,,1.0,1.0,1.0,More Green Than Brown,,3.17,,,,54.3,57.3,21.8,1.58,1.84,1.72,1.72,5.63,5.5,6.18,5.77,34.5,38.0,35.5,36.0,0.0,4.0
Overmature,A,Ripe,R134,OM_CA_RI_134 (Tagak 2),0D,118.0,Ripe,2025-09-19,,0.0,,,Yellow (1-3),3.0,3.0,5.0,,1.0,9.0,,4.0,4.0,1.0,Green W/ 5% Yellowness Or Yellow Orange,,2.3,2.3,0.0,3.99,49.9,61.7,23.0,0.58,0.71,0.74,0.67,8.95,8.9,8.95,8.93,39.0,38.0,37.5,38.17,0.0,0.0
Overmature,A,Ripe,R135,OM_CA_RI_135 (Tagak 3),0D,118.0,Ripe,2025-09-19,,0.0,,,Light Yellow to Yellow (1-3),3.0,3.0,5.0,4.0,1.0,9.0,,4.0,4.0,1.0,More Brown Than Green,,2.14,2.14,0.0,,53.0,59.5,17.2,0.6,0.56,0.47,0.55,7.7,8.3,8.3,8.1,32.5,32.0,32.0,32.17,0.0,0.0
Overmature,A,Ripe,R136,OM_CA_RI_136 (Tagak 4),0D,118.0,Ripe,2025-09-19,,0.0,,,Light Yellow (1-3),2.0,2.0,5.0,,1.0,9.0,,4.0,4.0,1.0,Green,,2.66,2.66,0.0,,54.1,62.7,23.3,0.55,0.56,0.43,0.51,8.38,8.53,8.88,8.6,38.5,40.0,38.5,39.0,0.0,0.0
Overmature,A,Ripe,R137,OM_CA_RI_137 (Tagak 5),0D,118.0,Ripe,2025-09-19,,0.0,,,Yellow (1-3),2.0,2.0,5.0,4.0,1.0,8.0,,3.0,3.0,1.0,Green,,2.45,2.45,0.0,,55.6,58.5,19.5,0.45,0.48,0.77,0.57,7.73,8.4,8.9,8.34,37.0,40.0,40.5,39.17,0.0,0.0
Overmature,A,Ripe,R138,OM_CA_RI_138 (Tagak 6),0D,118.0,Ripe,2025-09-19,,0.0,,,Yellow to Yellow Orange (1-3),3.0,3.0,5.0,4.0,1.0,8.0,,4.0,4.0,1.0,Green,,3.23,3.23,0.0,,56.7,70.7,25.0,0.56,0.35,0.33,0.41,13.45,11.18,9.18,11.27,42.5,40.0,41.0,41.17,0.0,0.0
Overmature,A,Ripe,R139,OM_CA_RI_139,4D,118.0,Ripe,2025-09-23,,4.0,,,(1-3) = Yellow,1.0,3.0,1.0,5.0,1.0,9.0,6.0,1.0,3.0,1.0,More Green Than Brown,More Green than Brown,2.89,2.46,14.88,,,,22.0,0.46,0.42,0.58,0.49,7.28,6.53,7.53,7.11,36.0,34.5,36.5,35.67,0.0,4.0
Overmature,A,Ripe,R140,OM_CA_RI_140,5D,118.0,Ripe,2025-09-24,,4.0,,,(1-3) = Light Yellow,1.0,3.0,1.0,,1.0,9.0,7.0,1.0,2.0,1.0,More Green Than Brown,More Green than Brown,2.3,2.0,13.04,,,,19.0,0.33,0.39,0.35,0.36,8.65,7.5,7.0,7.72,39.5,36.5,36.5,37.5,0.0,5.0
Overmature,A,Overripe,R141,OM_CA_OR_141,1D,118.0,Overripe,2025-09-23,,,,4.0,(1-3) = Yellow Orange,1.0,3.0,1.0,4.5,,9.0,3.0,1.0,5.0,1.0,More Green Than Brown,More Brown than Green with Yellow Orange at Suture Lines,2.7,2.26,16.3,23.09,,,20.0,0.35,0.0,0.29,0.21,7.35,8.25,7.03,7.54,33.5,32.5,30.0,32.0,0.0,1.0
Overmature,A,Overripe,R142,OM_CA_OR_142,5D,118.0,Overripe,2025-09-23,,,2025-10-02,9.0,Yellow,1.0,4.0,1.0,5.0,,9.0,4.0,1.0,5.0,1.0,More Green Than Brown,More Brown than Green,2.16,1.56,27.78,,,,19.0,0.73,0.71,0.61,0.68,,,,,32.0,30.0,32.0,31.33,0.0,5.0
Overmature,A,Overripe,R143,OM_CA_OR_143,0D,118.0,Overripe,2025-09-23,,,2025-10-02,9.0,,4.0,4.0,5.0,4.5,1.0,8.0,2.0,3.0,4.0,1.0,More Green Than Brown,Dark Brown (diseased),3.46,2.77,19.94,,58.5,73.3,18.7,,,,,,,,,33.5,33.5,32.5,33.17,0.0,0.0
Overmature,A,Overripe,R144,OM_CA_OR_144,3D,118.0,Overripe,2025-09-23,,,2025-10-02,9.0,Yellow,1.0,3.0,1.0,,,9.0,3.0,1.0,5.0,2.0,More Green Than Brown,More Brown than Green with yellow orange sutures,2.86,2.07,27.62,,,,19.4,0.81,0.65,0.64,0.7,,,,,33.0,32.0,36.0,33.67,0.0,3.0
Overmature,A,Overripe,R145,OM_CA_OR_145,3D,118.0,Overripe,2025-09-23,,,2025-10-02,9.0,Yellow Orange,1.0,5.0,1.0,5.0,,9.0,3.0,1.0,5.0,1.0,More Green Than Brown,Brown with yellow orange suture,2.11,1.49,29.38,,,,18.0,0.26,0.35,0.41,0.34,,,,,,,,,0.0,3.0
Overmature,A,Overripe,R146,OM_CA_OR_146,5D,118.0,Overripe,2025-09-23,,,2025-10-02,9.0,Yellow,1.0,4.0,1.0,5.0,,9.0,4.0,1.0,5.0,1.0,More Green Than Brown,More Brown than Green,2.37,1.67,29.54,,,,18.1,0.9,0.59,0.8,0.76,,,,,32.0,31.5,32.0,31.83,0.0,5.0
Overmature,A,Overripe,R147,OM_CA_OR_147,0D,118.0,Overripe,2025-09-23,,,,3.0,(1-3) = Yellow,3.0,5.0,5.0,5.0,,8.0,3.0,4.0,5.0,1.0,More Brown Than Green,More Brown than Green; Yellow Orange along Suture Line (Cracked),1.72,1.53,11.05,,49.9,54.5,12.0,0.0,0.0,0.11,0.04,7.7,7.88,7.2,7.59,31.5,33.5,31.5,32.17,0.0,0.0
Overmature,B,Unripe,R148,OM_CB_UN_148,5D,118.0,Unripe,2025-09-29,,,,,Light Yellow,1.0,,1.0,,1.0,8.0,,1.0,,1.0,Dark/Jade Green,,2.11,,,,49.5,57.7,17.5,2.68,3.81,2.01,2.84,5.7,5.0,5.5,5.4,32.0,30.5,31.5,31.33,0.0,5.0
Overmature,B,Unripe,R149,OM_CB_UN_149,5D,118.0,Unripe,2025-09-29,,,,,Yellow,2.0,,1.0,3.5,1.0,8.0,,1.0,,2.0,Dark Green,,1.94,,,,50.6,52.8,19.75,3.25,2.22,2.59,2.69,6.8,8.03,6.3,7.04,36.5,37.5,36.5,36.83,0.0,5.0
Overmature,B,Unripe,R150,OM_CB_UN_150,5D,118.0,Unripe,2025-09-29,,,,,Light Yellow,1.0,,1.0,3.5,1.0,9.0,,1.0,,1.0,Dark Green,,1.7,,,,48.7,52.0,17.3,2.8,2.86,4.37,3.34,,,,,30.5,34.0,33.0,32.5,0.0,5.0
Overmature,B,Unripe,R151,OM_CB_UN_151,5D,118.0,Unripe,2025-09-29,,,,,Light Yellow,1.0,,1.0,3.5,1.0,8.0,,1.0,,1.0,Dark Green,,2.02,,,,51.9,57.9,19.5,3.91,2.77,3.11,3.26,6.73,6.83,5.6,6.39,42.0,37.5,34.0,37.83,0.0,5.0
Overmature,B,Unripe,R152,OM_CB_UN_152,5D,118.0,Unripe,2025-09-29,,,,,Light Yellow,1.0,,1.0,,1.0,9.0,,1.0,,1.0,Dark Green,,1.66,,,,48.1,51.7,16.5,3.12,1.83,2.62,2.52,7.48,8.43,8.98,8.3,41.0,37.5,38.5,39.0,0.0,5.0
Overmature,B,Unripe,R153,OM_CB_UN_153,3D,118.0,Unripe,2025-09-29,,,,,Yellow Orange,1.0,,1.0,4.0,1.0,7.0,,1.0,,,More Green Than Brown,,3.8,,,,60.9,67.5,26.3,1.38,1.61,1.75,1.58,,,,,,,,,0.0,3.0
Overmature,B,Unripe,R154,OM_CB_UN_154,,118.0,Unripe,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overmature,B,Ripe,R155,OM_CB_RI_155 (Tagak 1),0D,118.0,Ripe,2025-09-29,,0.0,,,Yellow,4.0,,5.0,3.5,1.0,8.0,,1.0,2.0,1.0,Dark Green With Yellow Green Sutures,,1.92,1.92,0.0,10.69,49.7,56.7,15.8,0.69,0.64,0.71,0.68,8.03,6.25,6.25,6.84,37.5,34.0,34.5,35.33,0.0,0.0
Overmature,B,Ripe,R156,OM_CB_RI_156,5D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Yellow Orange,1.0,3.0,3.0,4.0,1.0,9.0,8.0,1.0,3.0,1.0,More Green Than Brown,More Brown than Green,3.11,2.66,14.47,,61.1,64.8,,0.66,0.65,0.42,0.58,8.93,9.03,9.55,9.17,38.0,37.5,37.5,37.67,0.0,5.0
Overmature,B,Ripe,R157,OM_CB_RI_157,5D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Orange,1.0,2.0,4.0,2.0,1.0,8.0,7.0,1.0,5.0,1.0,More Green Than Brown,More Green than Brown,2.48,2.21,10.89,,53.1,58.8,21.5,0.61,0.53,0.59,0.58,7.1,6.4,6.25,6.58,38.5,34.5,36.5,36.5,0.0,5.0
Overmature,B,Ripe,R158,OM_CB_RI_158,5D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Yellow Orange,1.0,2.0,4.0,4.0,1.0,7.0,6.0,1.0,4.0,1.0,Dark Green,Dark Green,2.12,1.84,13.21,,59.7,52.9,21.3,0.64,0.91,0.55,0.7,8.55,9.6,9.4,9.18,38.5,37.0,37.0,37.5,0.0,5.0
Overmature,B,Ripe,R159,OM_CB_RI_159,5D,118.0,Overripe,2025-09-29,,,2025-10-06,7.0,Yellow Orange,2.0,3.0,5.0,4.0,,6.0,6.0,1.0,4.0,1.0,Green,More Green than Brown,1.9,1.68,11.58,20.24,55.7,50.4,16.65,0.68,0.61,0.81,0.7,7.3,7.95,7.95,7.73,35.0,35.5,36.0,35.5,0.0,5.0
Overmature,B,Ripe,R160,OM_CB_RI_160,6D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Yellow,1.0,3.0,4.0,,1.0,8.0,6.0,1.0,5.0,1.0,Green,Green,3.53,3.0,15.01,,59.1,73.7,25.0,0.87,0.62,0.66,0.72,7.63,7.38,6.75,7.25,38.5,38.0,37.0,37.83,0.0,6.0
Overmature,B,Ripe,R161,OM_CB_RI_161,,118.0,Ripe,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overmature,B,Overripe,R162,OM_CB_OR_162,2D,118.0,Overripe,2025-09-29,,,2025-10-07,8.0,Yellow Orange,5.0,5.0,5.0,4.0,,8.0,4.0,1.0,5.0,2.0,More Brown Than Green,More Brown than Yellow with Orange Sutures,3.81,3.03,20.47,,65.1,73.1,26.6,0.29,0.78,0.32,0.47,8.78,7.15,7.95,7.96,33.0,34.5,35.5,34.33,0.0,2.0
Overmature,B,Overripe,R163,OM_CB_OR_163,,118.0,,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overmature,B,Overripe,R164,OM_CB_OR_164,,118.0,,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overmature,B,Overripe,R165,OM_CB_OR_165,1D,118.0,Overripe,2025-09-29,,,2025-10-07,8.0,Yellow Orange,2.0,5.0,5.0,4.0,,7.0,4.0,3.0,5.0,2.0,More Green Than Brown With Yellow Sutures,Brown with Yellow Orange bottom,2.17,1.78,17.97,,53.7,60.3,22.7,0.41,0.67,0.64,0.57,6.65,5.7,5.78,6.04,31.0,32.0,33.0,32.0,0.0,1.0
Overmature,B,Overripe,R166,OM_CB_OR_166,2D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Yellow Orange,1.0,2.0,4.0,4.0,1.0,8.0,7.0,1.0,5.0,1.0,Green,Green,3.88,3.47,10.57,,62.8,75.0,22.7,0.5,0.46,0.73,0.56,8.25,7.88,7.88,8.0,37.5,34.0,34.0,35.17,0.0,2.0
Overmature,B,Overripe,R167,OM_CB_OR_167,2D,118.0,Overripe,2025-09-29,,,2025-10-10,11.0,Yellow Orange,,5.0,5.0,5.0,,8.0,4.0,1.0,5.0,1.0,Green,More Brown than Yellow Green,3.55,2.87,19.15,,58.6,70.8,24.05,0.46,0.37,0.5,0.44,6.85,5.9,6.55,6.43,33.5,32.0,33.0,32.83,0.0,2.0
Overmature,B,Overripe,R168,OM_CB_OR_168,3D,118.0,Overripe,2025-09-29,,,2025-10-07,8.0,"Yellow orange (1), Yellow (2-3)",2.0,5.0,1.0,,,7.0,7.0,2.0,5.0,1.0,Green,Brown with Yellow Orange Sutures,1.28,0.87,32.03,,40.0,50.8,21.2,0.39,0.65,0.57,0.53,8.95,9.55,8.65,9.05,36.5,37.5,36.0,36.67,0.0,3.0
Overmature,C,Unripe,R169,OM_CC_UN_169,6D,118.0,Unripe,2025-09-29,,,,,"Light Yellow (1-2), Yellow (3)",2.0,,1.0,3.0,1.0,3.0,,2.0,,1.0,More Green Than Brown,,2.87,,,,68.9,58.6,22.05,1.5,2.1,1.76,1.79,6.08,6.48,6.88,6.48,32.5,30.0,32.0,31.5,0.0,6.0
Overmature,C,Unripe,R170,OM_CC_UN_170,3D,118.0,Unripe,2025-09-29,,,,,Light Yellow,1.0,,1.0,3.5,1.0,8.0,,1.0,,1.0,Green,,2.11,,,,49.8,58.0,19.45,2.66,1.84,1.4,1.96,8.75,8.43,8.45,8.54,39.5,36.5,38.5,38.17,0.0,3.0
Overmature,C,Unripe,R171,OM_CC_UN_171,6D,118.0,Unripe,2025-09-29,,,,,Yellow,2.0,,1.0,3.0,1.0,7.0,,1.0,,2.0,More Brown Than Green,,1.67,,,,47.8,53.8,17.1,2.14,1.25,1.75,1.71,7.2,7.2,7.23,7.21,38.5,38.0,37.5,38.0,0.0,6.0
Overmature,C,Unripe,R172,OM_CC_UN_172,5D,118.0,Unripe,2025-09-29,,,,,Light Yellow,1.0,,1.0,4.5,1.0,9.0,,1.0,,1.0,More Green Than Brown,,1.28,,,,45.0,51.3,20.6,2.11,4.78,3.58,3.49,,,,,36.0,36.0,39.0,37.0,0.0,5.0
Overmature,C,Unripe,R173,OM_CC_UN_173,3D,118.0,Unripe,2025-09-29,,,,,Yellow,1.0,,1.0,3.5,1.0,8.0,,1.0,,1.0,Green,,3.44,,,,56.3,67.7,27.0,2.06,3.8,2.62,2.83,7.63,4.78,7.15,6.52,36.0,37.0,32.0,35.0,0.0,3.0
Overmature,C,Unripe,R174,OM_CC_UN_174,5D,118.0,Unripe,2025-09-29,,,,,Yellow,1.0,,1.0,3.5,1.0,7.0,,1.0,,,More Green Than Brown,,1.54,,,,50.5,54.0,21.0,2.41,1.34,2.04,1.93,,,,,40.0,39.0,38.5,39.17,0.0,5.0
Overmature,C,Unripe,R175,OM_CC_UN_175,6D,118.0,Unripe,2025-09-29,,,,,Creamy Yellow,1.0,,1.0,3.5,1.0,8.0,,1.0,,1.0,Green,,3.29,,,,59.5,64.3,25.15,2.37,1.35,2.51,2.08,5.75,6.05,6.13,5.98,38.5,38.5,38.5,38.5,0.0,6.0
Overmature,C,Ripe,R176,OM_CC_RI_176 (Tagak 7),5D,118.0,Ripe,2025-09-29,,0.0,,,Creamy Yellow,1.0,4.0,4.0,3.5,1.0,8.0,7.0,1.0,3.0,1.0,Green,More Brown than Green,1.56,1.34,14.1,15.1,47.0,52.4,21.3,0.88,0.72,0.72,0.77,9.48,7.88,7.75,8.37,37.5,36.0,38.5,37.33,0.0,5.0
Overmature,C,Ripe,R177,OM_CC_RI_177 (Tagak 8),0D,118.0,Ripe,2025-09-29,,0.0,,,Yellow,3.0,,5.0,,1.0,7.0,,4.0,4.0,2.0,More Green Than Yellow,,1.26,,,,,,12.4,0.61,0.72,0.38,0.57,9.73,11.15,12.78,11.22,38.0,39.0,37.0,38.0,0.0,0.0
Overmature,C,Ripe,R178,OM_CC_RI_178 (Tagak 10),0D,118.0,Ripe,2025-09-29,,0.0,,,Yellow,2.0,,5.0,,1.0,7.0,,3.0,3.0,1.0,More Dark Green Than Green,,2.19,,,,55.0,60.9,16.85,0.35,0.52,0.68,0.52,8.45,7.48,8.7,8.21,35.5,35.5,34.5,35.17,0.0,0.0
Overmature,C,Ripe,R179,OM_CC_RI_179,5D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Yellow,1.0,2.0,4.0,,1.0,8.0,8.0,1.0,4.0,1.0,Green,More Green than Brown,1.61,1.37,14.91,,,,16.2,0.98,0.64,1.07,0.9,8.9,8.4,8.95,8.75,41.5,38.5,37.5,39.17,0.0,5.0
Overmature,C,Ripe,R180,OM_CC_RI_180,5D,118.0,Ripe,2025-09-29,2025-10-06,7.0,,,Light Yellow,,4.0,4.0,2.0,1.0,9.0,6.0,1.0,5.0,1.0,Green,More Green than Brown,1.16,0.93,19.83,,46.8,42.9,12.0,1.14,0.97,0.92,1.01,8.45,8.55,8.33,8.44,38.0,37.0,38.5,37.83,0.0,5.0
