Maturity_Stage,Class,Ripeness,Replicate,Code,ESR,Maturity_DAB,Actual_Ripening_Status,Day_Harvested,Day_Ripen,Actual_Ripening_Days,Day_Overripe,Actual_Days_Capsule_Splitting,Pulp_Color,Pliability_Harvest,Pliability_EOS,Pedicel_Absicion,Locules,Dehisence,VQR_Harvest,VQR_End_Storage,Aroma_Harvest,Aroma_End_Storage,Disease,Harvest_Rind_Color,Rind_Color_EOS,Harvest_Weight,Weight_End_Storage,Weight_Loss,Average_Weight_Loss,Horizontal_Circumference,Vertical_Circumference,Pedicel_Diameter,Firmness_R1,Firmness_R2,Firmness_R3,Firmness_AVE,TSS_R1,TSS_R2,TSS_R3,TSS_AVE,Dry_Matter_R1,Dry_Matter_R2,Dry_Matter_R3,Dry_Matter_AVE,ESR_NL_Flag,ESR_Days
Immature,C,Overripe,R60,IM_CC_OR_60,13D,101.0,Ripe,2025-09-05,,7.0,,,Bright Yellow,1.0,,1.0,,,5.0,5.0,1.0,,1.0,More Green Than Brown,,2.94,,,,42.5,49.8,19.1,0.47,0.46,0.45,0.46,8.75,8.23,7.0,7.99,39.0,38.0,39.5,38.83,0.0,13.0
Immature,C,Overripe,R61,IM_CC_OR_61,13D,101.0,Overripe,2025-09-05,,,,10.0,Yellow Orange,1.0,4.0,5.0,,,5.0,3.0,1.0,5.0,2.0,More Green Than Brown,More Brown than Yellow Orange,1.72,1.31,23.84,,49.9,59.0,17.2,0.4,0.42,0.56,0.46,7.03,6.6,7.7,7.11,30.0,26.5,29.0,28.5,0.0,13.0
Immature,C,Overripe,R62,IM_CC_OR_62,13D,101.0,Ripe,2025-09-05,,7.0,,,Yellow,1.0,,1.0,3.0,,6.0,5.0,1.0,,1.0,More Green Than Brown,,1.32,,,,49.3,68.1,15.8,0.66,0.26,0.35,0.42,8.05,7.925,7.675,7.88,35.0,36.0,35.5,35.5,0.0,13.0
Immature,C,Overripe,R63,IM_CC_OR_63,13D (NL),101.0,Overripe,2025-09-05,,,,10.0,Yellow,1.0,3.0,2.0,,1.0,6.0,5.0,1.0,3.0,,Green,More Green than Brown,1.61,1.21,24.84,,48.2,52.9,15.2,0.27,0.61,0.42,0.43,6.73,6.58,6.78,6.7,26.0,23.5,26.0,25.17,1.0,13.0
Mature,A,Unripe,R64,M_CA_UN_64,3D,110.0,Unripe,2025-09-18,,,,,(1-3) = Bright Yellow,1.0,,1.0,5.0,,8.0,,1.0,,1.0,Green,,2.14,,,,51.5,67.5,21.5,8.0,5.49,7.76,7.08,7.83,7.85,7.9,7.86,32.0,32.0,33.5,32.5,0.0,3.0
Mature,A,Unripe,R65,M_CA_UN_65,6D,111.0,Unripe,2025-09-18,,,,,"(1-2) = Creamy White, (3) = White",1.0,,1.0,4.5,,9.0,,1.0,,1.0,More Brown Than Green,,2.27,,,,52.6,61.5,15.5,10.67,10.56,10.03,10.42,4.25,3.63,4.18,4.02,28.0,30.0,30.0,29.33,0.0,6.0
Mature,A,Unripe,R66,M_CA_UN_66,4D,114.0,Unripe,2025-09-18,,,,,(1-3) = Yellow Orange,2.0,,1.0,5.0,,7.0,,2.0,,1.0,Green,,1.83,,,,51.9,62.5,18.1,,,,,4.23,3.83,4.45,4.17,,,,,0.0,4.0
Mature,A,Unripe,R67,M_CA_UN_67,4D,111.0,Unripe,2025-09-18,,,,,(1-3) = Creamy White,1.0,,1.0,4.0,,9.0,,1.0,,1.0,Green,,2.84,,,,57.8,67.6,21.0,8.68,7.77,8.24,8.23,5.0,4.28,4.73,4.67,,,,,0.0,4.0
Mature,A,Unripe,R68,M_CA_UN_68,6D,118.0,Unripe,2025-09-18,,,,,(1-3) = White,1.0,,1.0,4.5,,9.0,,1.0,,1.0,Green,,2.46,,,,,,21.1,1.83,3.19,3.35,2.79,4.63,4.38,5.13,4.71,34.0,36.0,32.0,34.0,0.0,6.0
Mature,A,Unripe,R69,M_CA_UN_69,4D,114.0,Unripe,2025-09-18,,,,,"(1-2) = Light Yellow, (3) = Yellow",1.0,,1.0,4.5,,8.0,,1.0,,1.0,Green,,2.9,,,,57.5,68.4,22.5,,,,,6.35,5.78,6.28,6.14,,,,,0.0,4.0
